answer,word_ids,vocab_size,predicted_profiles
different,"[20, 6, 22, 22, 4, 11, 4, 5, 8]",34,"[0.3046136796474457, -0.016462668776512146, 1.224381923675537, 0.1745336949825287, 1.4516037702560425, 0.16724923253059387, 0.056404903531074524, 0.6889480352401733, 1.1307194232940674, 1.2382442951202393, 1.0338348150253296, 0.8155010938644409, 0.506671130657196, 2.224903106689453, 0.10600762069225311, 1.009338140487671, 0.47879287600517273, 0.8709877133369446, 0.38917577266693115, 0.04650264233350754, 0.07690741121768951, -0.0037141405045986176, 0.8404119610786438, 0.8314973711967468, 0.20844516158103943, 0.7741096019744873, 1.284175157546997, 0.055764079093933105, 1.4707121849060059, 0.5431615114212036, 0.8820993304252625, 0.3177133798599243, 0.27813488245010376, 0.03388301283121109, 0.41028332710266113, 0.4028185307979584, 0.5902445912361145, 0.6108595728874207, 0.7315592169761658, 0.546678364276886, 0.10759037733078003, 1.0366201400756836, 0.46874403953552246, 0.37778154015541077, 1.691757082939148, 0.5564009547233582, 1.7213853597640991, 1.7087515592575073, 0.1195143610239029, 1.636562705039978, 0.37922924757003784, 0.19470272958278656, 0.97304368019104, 1.261234164237976, 0.6818563938140869, 1.1287412643432617, 0.045653335750103, 0.4715791940689087, 1.2195316553115845, 1.808200478553772, 0.7590571045875549, 0.5363684296607971, 0.04242122173309326, 0.18935732543468475]"
discover,"[20, 6, 7, 18, 12, 28, 4, 11]",34,"[0.27100566029548645, 0.007569894194602966, 0.983242392539978, 0.3756890594959259, 1.5024131536483765, 0.35727399587631226, 0.16620542109012604, 0.8829506635665894, 1.4027856588363647, 1.2750518321990967, 1.3241215944290161, 0.38723450899124146, 0.2459440678358078, 2.2435200214385986, 0.07515330612659454, 0.7508360147476196, 0.47009018063545227, 1.1857314109802246, 0.442974328994751, 0.2474668174982071, 0.22253133356571198, 0.025419123470783234, 0.5928765535354614, 0.8563238978385925, 0.47070056200027466, 0.5601541996002197, 1.1384878158569336, -0.0049664974212646484, 1.3367424011230469, 0.5492470860481262, 0.535122811794281, 0.4057298004627228, 0.4600626826286316, 0.09739615023136139, 0.4069483280181885, 0.39938071370124817, 0.6611049175262451, 0.7765406966209412, 0.6727638840675354, 0.5555247068405151, 0.12617570161819458, 0.6215742826461792, 0.4845576882362366, 0.3734918236732483, 1.5398919582366943, 0.521425724029541, 1.5641858577728271, 1.6949851512908936, 0.11075228452682495, 1.6918100118637085, 0.5077406167984009, 0.21526551246643066, 0.4873230755329132, 0.8012274503707886, 0.5277725458145142, 1.1808907985687256, 0.08626040071249008, 0.6532451510429382, 1.3048523664474487, 1.6750385761260986, 0.7510179281234741, 0.2199486941099167, 0.0565497912466526, 0.12763865292072296]"
example,"[4, 27, 2, 19, 3, 14, 4]",34,"[1.0445835590362549, -0.04179564118385315, 0.4820934534072876, 0.712899923324585, 1.4033441543579102, -0.045941516757011414, 0.27099505066871643, 0.574746310710907, 1.502692461013794, 1.5506675243377686, 0.8419053554534912, 0.5519015789031982, 0.21907919645309448, 2.306950092315674, 0.6739722490310669, 0.5004621744155884, 1.7866661548614502, 0.592461109161377, 1.5524625778198242, 0.3454653322696686, 0.22378379106521606, 0.040906503796577454, 1.5153508186340332, 1.355743169784546, 0.9748412370681763, 0.27223092317581177, 0.6279572248458862, 0.03489081561565399, 1.0649150609970093, 0.5516311526298523, 0.372629851102829, 0.7424857020378113, 1.2349987030029297, 0.4295121729373932, 1.6406517028808594, 1.4934232234954834, 0.8263752460479736, 0.39578568935394287, 0.864833414554596, 1.1315568685531616, 0.5766668319702148, 0.8594938516616821, 1.9782747030258179, 1.5641182661056519, 0.9931727647781372, 0.3449912965297699, 1.3607177734375, 1.3888750076293945, 0.7673375606536865, 1.1854902505874634, 1.7253817319869995, -0.010543376207351685, 0.6138973832130432, 0.6703531742095947, 0.27203649282455444, 1.5031275749206543, -0.0226372629404068, 1.2019180059432983, 1.2653495073318481, 1.7189455032348633, 0.41713738441467285, 0.6684770584106445, -0.03267136588692665, 0.897327184677124]"
explain,"[4, 27, 3, 14, 2, 6, 5]",34,"[0.9347211122512817, 0.02959667146205902, 0.5259287357330322, 0.37985846400260925, 1.0497946739196777, 0.24929159879684448, 0.3318622410297394, 0.5515178442001343, 1.0899745225906372, 1.0225499868392944, 0.7409904599189758, 0.7720400094985962, 0.3168398141860962, 1.995344638824463, 0.4144618511199951, 0.4477120637893677, 1.3045541048049927, 0.7767797112464905, 1.3241093158721924, 0.29524677991867065, 0.20867303013801575, 0.006497833877801895, 1.1249860525131226, 0.8447452783584595, 0.6357161998748779, 0.24429860711097717, 0.8410853147506714, 0.08026103675365448, 1.1532790660858154, 0.2830196022987366, 0.5773541331291199, 0.3795323967933655, 1.0071334838867188, 0.2440502643585205, 1.2210971117019653, 1.2733197212219238, 0.3784160614013672, 0.6669493317604065, 0.4288877248764038, 0.8411270380020142, 0.2601516842842102, 0.935971736907959, 1.5824329853057861, 1.3605375289916992, 1.1316381692886353, 0.15774202346801758, 1.2383331060409546, 1.4473114013671875, 0.5157537460327148, 1.1081241369247437, 1.3808315992355347, 0.18572217226028442, 0.628913402557373, 0.7791039943695068, 0.20402783155441284, 0.9941755533218384, 0.03490864485502243, 0.8210026025772095, 0.9339997172355652, 1.4179178476333618, 0.3364793360233307, 0.6166797280311584, 0.04934639483690262, 0.7718931436538696]"
explore,"[4, 27, 3, 14, 12, 11, 4]",34,"[1.0714867115020752, -0.0573430061340332, 0.3008847236633301, 0.5419743657112122, 0.9307090640068054, 0.25001591444015503, 0.4268970787525177, 0.5771515369415283, 1.2399520874023438, 0.916293203830719, 0.7367750406265259, 0.311760812997818, 0.16891995072364807, 1.7127676010131836, 0.4822033643722534, 0.3936636745929718, 1.4834415912628174, 0.7714182138442993, 1.667311668395996, 0.4563807249069214, 0.33499324321746826, 0.04436902701854706, 1.0495706796646118, 0.8860191106796265, 0.8978365659713745, 0.20240360498428345, 0.6203756332397461, -0.0336858332157135, 0.933726966381073, 0.3546251952648163, 0.2450028955936432, 0.5679395794868469, 1.354954719543457, 0.4551003575325012, 1.3812681436538696, 1.5951659679412842, 0.5635172724723816, 0.5731083154678345, 0.48769938945770264, 0.637684166431427, 0.6154674291610718, 0.5123260021209717, 1.9769761562347412, 1.62401282787323, 0.8352302312850952, 0.19516386091709137, 1.0155556201934814, 1.2190481424331665, 0.7711509466171265, 0.9333305358886719, 1.650457739830017, 0.1258363425731659, 0.31109997630119324, 0.39632511138916016, 0.25502803921699524, 0.9130368828773499, -0.0002665519714355469, 0.9515414834022522, 0.8132180571556091, 1.1200065612792969, 0.28657278418540955, 0.5171712636947632, 0.06334342062473297, 0.9722434282302856]"
finally,"[22, 6, 5, 2, 14, 14, 21]",34,"[0.6962746977806091, 0.03743656724691391, 0.7977492213249207, 0.12263473123311996, 1.1237210035324097, 0.28459399938583374, 0.2574218511581421, 0.732896625995636, 1.0609986782073975, 0.9218077063560486, 0.8619800806045532, 0.5809471607208252, 0.3781701922416687, 1.492832899093628, 0.2133822739124298, 0.8885354995727539, 0.8552510738372803, 0.8295105695724487, 1.0308706760406494, 0.10215412080287933, 0.04860563948750496, -0.034482087939977646, 0.8128286004066467, 0.6347172856330872, 0.21678350865840912, 0.7108549475669861, 0.9498238563537598, 0.07332979142665863, 1.0837525129318237, 0.41399917006492615, 0.5034312605857849, 0.47330623865127563, 0.7004556655883789, 0.19453203678131104, 0.6937198638916016, 1.0164263248443604, 0.6904996633529663, 0.6590979099273682, 0.6364544034004211, 0.42638272047042847, 0.4009527564048767, 0.659501850605011, 1.062256097793579, 0.9215876460075378, 1.2743223905563354, 0.4744269847869873, 1.281907320022583, 1.3241888284683228, 0.4772021174430847, 1.3057589530944824, 0.9630510210990906, 0.24128377437591553, 0.7387679815292358, 0.8796882033348083, 0.6088491082191467, 0.879222571849823, 0.05818615108728409, 0.5161256194114685, 0.9335875511169434, 1.191313624382019, 0.605993926525116, 0.4918991029262543, 0.04701962321996689, 0.693062424659729]"
first,"[22, 6, 11, 7, 8]",34,"[1.4107173681259155, 0.1098862737417221, 0.6090617775917053, 0.13815838098526, 0.6734809875488281, 0.0012243837118148804, 0.4547186493873596, -0.0007479935884475708, 0.30143192410469055, 0.8442991971969604, -0.03229854255914688, 1.3372085094451904, 0.7136630415916443, 1.3967938423156738, 0.8222881555557251, 0.48611196875572205, 1.8805335760116577, 0.06045609712600708, 1.719559907913208, 0.20018333196640015, -0.011993907392024994, -0.03583681583404541, 1.9901248216629028, 0.8133927583694458, 0.45504119992256165, 0.441262811422348, 0.42583417892456055, 0.24284224212169647, 0.6955488324165344, 0.5271450877189636, 1.0100635290145874, 0.42183294892311096, 1.149346113204956, 0.3490036725997925, 1.76780104637146, 1.6697237491607666, 0.25458240509033203, 0.18541620671749115, 0.5827217698097229, 1.298187494277954, 0.24087874591350555, 1.615640640258789, 2.2560999393463135, 1.9695032835006714, 0.6190676689147949, 0.18643276393413544, 0.7783928513526917, 0.9319695830345154, 0.8172796964645386, 0.48544150590896606, 1.9912517070770264, 0.15989848971366882, 1.5767955780029297, 1.244005799293518, 0.05198744684457779, 0.8175177574157715, 0.05627993494272232, 0.6812068819999695, 0.5667877197265625, 1.1680337190628052, 0.13839678466320038, 1.4697329998016357, 0.05343180149793625, 1.289717435836792]"
idea,"[6, 20, 4, 2]",34,"[1.0821791887283325, 0.16323897242546082, 0.6049069762229919, 0.016901683062314987, 0.8635328412055969, 0.3057965636253357, 0.42171329259872437, 0.26460593938827515, 0.6495644450187683, 0.6790599226951599, 0.4041815400123596, 1.2473994493484497, 0.5406818389892578, 1.8374111652374268, 0.27547627687454224, 0.5057669281959534, 1.2951034307479858, 0.5871816873550415, 1.305058479309082, 0.043727144598960876, 0.04949893802404404, -0.04535806179046631, 1.1054948568344116, 0.44001707434654236, 0.2663305997848511, 0.17025595903396606, 1.1278101205825806, 0.2947637438774109, 1.3283251523971558, -0.05716441199183464, 0.981930136680603, 0.08332709223031998, 0.8274686336517334, 0.22482050955295563, 1.1772583723068237, 1.4271328449249268, 0.007996432483196259, 0.8223045468330383, 0.055042169988155365, 0.7390999794006348, -0.06454494595527649, 1.303367018699646, 1.5357937812805176, 1.3215566873550415, 1.4278481006622314, -0.00386151485145092, 1.4369537830352783, 1.6143051385879517, 0.37690094113349915, 1.0528708696365356, 1.3417288064956665, 0.43668168783187866, 0.7925012707710266, 1.1469415426254272, 0.19527876377105713, 0.6665601134300232, 0.11858154833316803, 0.3923710882663727, 0.5834916234016418, 1.3744878768920898, 0.19701802730560303, 0.6990570425987244, 0.018156524747610092, 0.9663728475570679]"
imagine,"[6, 19, 2, 17, 6, 5, 4]",34,"[1.3555976152420044, -0.010881349444389343, 0.3515703082084656, 0.4134851396083832, 0.760314404964447, 0.1026972085237503, 0.7464823126792908, 0.3298259973526001, 0.8465122580528259, 0.7584112882614136, 0.4675402343273163, 0.4767646789550781, 0.33357614278793335, 1.2926700115203857, 0.6582011580467224, 0.4919884204864502, 1.809089183807373, 0.3399674892425537, 2.0529932975769043, 0.44615036249160767, 0.32867431640625, -0.022785404697060585, 1.3797098398208618, 0.8051970601081848, 0.8264036178588867, 0.3541552424430847, 0.4707297086715698, -0.016559362411499023, 0.6580318808555603, 0.5250611305236816, 0.40817564725875854, 0.6416157484054565, 1.6034576892852783, 0.6146695017814636, 1.6073507070541382, 1.9607839584350586, 0.489486962556839, 0.3544538915157318, 0.6146444082260132, 0.7092128992080688, 0.6593470573425293, 0.7162587642669678, 2.403877019882202, 1.9886462688446045, 0.6844134330749512, 0.21767990291118622, 0.8320121765136719, 0.9758471250534058, 0.98540198802948, 0.7095621824264526, 2.087550401687622, 0.06626826524734497, 0.7471967935562134, 0.5927298069000244, 0.2888292670249939, 0.7976623773574829, -0.02235063910484314, 0.8398037552833557, 0.65553879737854, 0.982349693775177, 0.24846474826335907, 0.8299193382263184, 0.07227586209774017, 1.3299217224121094]"
important,"[6, 19, 3, 12, 11, 8, 2, 5, 8]",34,"[1.005954623222351, 0.008685588836669922, 0.3125128448009491, 0.8767465949058533, 1.140891194343567, 0.04859517514705658, 0.4073598384857178, 0.4303867816925049, 1.234399437904358, 1.3958368301391602, 0.4245552718639374, 0.17848283052444458, 0.1012561097741127, 1.5196034908294678, 0.9871295094490051, 0.18501824140548706, 1.8536787033081055, 0.3019982576370239, 1.6544010639190674, 0.7764683961868286, 0.2997545897960663, 0.08944161236286163, 1.628251075744629, 1.5146944522857666, 1.3105695247650146, 0.3970000743865967, 0.02653554081916809, 0.033714890480041504, 0.3431815505027771, 1.112073302268982, 0.07475375384092331, 1.012721061706543, 1.600694179534912, 0.6680362224578857, 1.7717113494873047, 1.4755911827087402, 1.0512884855270386, 0.016197532415390015, 1.258873701095581, 1.274948000907898, 0.9772786498069763, 0.6222987771034241, 2.3004138469696045, 1.6120628118515015, 0.1192353367805481, 0.5085316896438599, 0.6324013471603394, 0.6466206312179565, 1.1835060119628906, 0.7142525911331177, 2.068654775619507, 0.04185035824775696, 0.7620065808296204, 0.2711285650730133, 0.061213068664073944, 1.389480471611023, 0.011497482657432556, 1.4725841283798218, 1.139992594718933, 1.1794826984405518, 0.3074139952659607, 0.8606614470481873, 0.013258431106805801, 0.878609299659729]"
improve,"[6, 19, 3, 11, 12, 28, 4]",34,"[0.5367748141288757, -0.012004688382148743, 0.7172256112098694, 0.7971315979957581, 1.479607105255127, 0.008973166346549988, 0.06843672692775726, 0.6394078731536865, 1.55234956741333, 1.6845471858978271, 0.8270900249481201, 0.2374141961336136, 0.15229758620262146, 2.0698659420013428, 0.660454511642456, 0.5315904021263123, 1.2605799436569214, 0.6499757766723633, 0.9189258813858032, 0.4819794297218323, 0.24313943088054657, 0.09157174080610275, 1.3226226568222046, 1.509197473526001, 1.0257439613342285, 0.5840935707092285, 0.41314372420310974, -0.003187894821166992, 0.7657305598258972, 1.1340641975402832, 0.2720838189125061, 0.9081727862358093, 0.8960937261581421, 0.35414254665374756, 1.1431447267532349, 0.7221860885620117, 1.1223630905151367, 0.18210545182228088, 1.236055850982666, 1.165006399154663, 0.778228759765625, 0.6814227104187012, 1.276811957359314, 0.8369104862213135, 0.7007440328598022, 0.6572701930999756, 1.140976905822754, 1.14995539188385, 0.6931513547897339, 1.1218301057815552, 1.1519831418991089, -0.003929585218429565, 0.7344022989273071, 0.4894775450229645, 0.29058974981307983, 1.6520546674728394, 0.005536764860153198, 1.2764976024627686, 1.3679524660110474, 1.6564576625823975, 0.5908470749855042, 0.6288873553276062, -0.004467662423849106, 0.3253881335258484]"
