answer,word_ids,vocab_size,predicted_profiles
idea,"[6, 20, 4, 2]",34,"[0.6732836365699768, 0.04895688220858574, 0.16108937561511993, 0.09807183593511581, 0.018598295748233795]"
imagine,"[6, 19, 2, 17, 6, 5, 4]",34,"[0.14629288017749786, 0.33341988921165466, 0.15064047276973724, 0.3421214520931244, 0.027525311335921288]"
important,"[6, 19, 3, 12, 11, 8, 2, 5, 8]",34,"[0.026494279503822327, 0.0591294951736927, 0.10448237508535385, 0.8036461472511292, 0.006247766315937042]"
improve,"[6, 19, 3, 11, 12, 28, 4]",34,"[0.08646693825721741, 0.0292279664427042, 0.691720187664032, 0.18489472568035126, 0.007690203841775656]"
information,"[6, 5, 22, 12, 11, 19, 2, 8, 6, 12, 5]",34,"[0.09777688980102539, 0.19379420578479767, 0.3886173963546753, 0.30463847517967224, 0.01517307199537754]"
learn,"[14, 4, 2, 11, 5]",34,"[0.6647010445594788, 0.06487177312374115, 0.1467302441596985, 0.10546627640724182, 0.018230658024549484]"
middle,"[19, 6, 20, 20, 14, 4]",34,"[0.34388434886932373, 0.06257615983486176, 0.5369304418563843, 0.03713472932577133, 0.019474290311336517]"
next,"[5, 4, 27, 8]",34,"[0.22596405446529388, 0.3411804437637329, 0.12395678460597992, 0.24667209386825562, 0.06222669407725334]"
notice,"[5, 12, 8, 6, 18, 4]",34,"[0.2578253746032715, 0.31680476665496826, 0.15319307148456573, 0.16537413001060486, 0.10680267214775085]"
observe,"[12, 10, 7, 4, 11, 28, 4]",34,"[0.6622994542121887, 0.03691430017352104, 0.16487151384353638, 0.11977788060903549, 0.016136813908815384]"
order,"[12, 11, 20, 4, 11]",34,"[0.33586233854293823, 0.28213515877723694, 0.09722818434238434, 0.21902130544185638, 0.06575297564268112]"
organize,"[12, 11, 17, 2, 5, 6, 15, 4]",34,"[0.2602844834327698, 0.14897026121616364, 0.24712665379047394, 0.28742101788520813, 0.056197572499513626]"
predict,"[3, 11, 4, 20, 6, 18, 8]",34,"[0.26470670104026794, 0.21753448247909546, 0.3216138184070587, 0.14221377670764923, 0.05393117666244507]"
problem,"[3, 11, 12, 10, 14, 4, 19]",34,"[0.2782263457775116, 0.09100788086652756, 0.12374738603830338, 0.48519325256347656, 0.02182522416114807]"
question,"[24, 13, 4, 7, 8, 6, 12, 5]",34,"[0.2557544708251953, 0.12265127897262573, 0.4915006160736084, 0.10145576298236847, 0.028637906536459923]"
reason,"[11, 4, 2, 7, 12, 5]",34,"[0.4250379800796509, 0.09272822737693787, 0.2479826658964157, 0.21040627360343933, 0.023844867944717407]"
require,"[11, 4, 24, 13, 6, 11, 4]",34,"[0.4420183300971985, 0.26197701692581177, 0.12251472473144531, 0.15095780789852142, 0.022532111033797264]"
similar,"[7, 6, 19, 6, 14, 2, 11]",34,"[0.1049710214138031, 0.7854121923446655, 0.010926217772066593, 0.0919390544295311, 0.006751480046659708]"
solution,"[7, 12, 14, 13, 8, 6, 12, 5]",34,"[0.08266161382198334, 0.18132048845291138, 0.43157824873924255, 0.28625109791755676, 0.018188446760177612]"
succeed,"[7, 13, 18, 18, 4, 4, 20]",34,"[0.22597858309745789, 0.0983758196234703, 0.5069046020507812, 0.08252179622650146, 0.0862191841006279]"
understand,"[13, 5, 20, 4, 11, 7, 8, 2, 5, 20]",34,"[0.2580655515193939, 0.1500055491924286, 0.0860910639166832, 0.47896361351013184, 0.026874303817749023]"
wonder,"[26, 12, 5, 20, 4, 11]",34,"[0.30745020508766174, 0.11098599433898926, 0.21818257868289948, 0.315305233001709, 0.04807595536112785]"
achieve,"[2, 18, 9, 6, 4, 28, 4]",34,"[0.8003373742103577, 0.013398648239672184, 0.1349935084581375, 0.04279928654432297, 0.008471187204122543]"
addition,"[2, 20, 20, 6, 8, 6, 12, 5]",34,"[0.0670691728591919, 0.14829029142856598, 0.6689290404319763, 0.0952366441488266, 0.020474839955568314]"
citizen,"[18, 6, 8, 6, 15, 4, 5]",34,"[0.24847102165222168, 0.48295268416404724, 0.05178732052445412, 0.10810735076665878, 0.10868152230978012]"
community,"[18, 12, 19, 19, 13, 5, 6, 8, 21]",34,"[0.1462215930223465, 0.21096204221248627, 0.3527960777282715, 0.24596776068210602, 0.04405253380537033]"
continent,"[18, 12, 5, 8, 6, 5, 4, 5, 8]",34,"[0.11936035007238388, 0.6311304569244385, 0.058539967983961105, 0.1569264978170395, 0.03404272720217705]"
energy,"[4, 5, 4, 11, 17, 21]",34,"[0.17595314979553223, 0.328104704618454, 0.08439511805772781, 0.2789236903190613, 0.13262338936328888]"
equal,"[4, 24, 13, 2, 14]",34,"[0.3531968891620636, 0.15141548216342926, 0.2322942018508911, 0.22713375091552734, 0.03595958277583122]"
globe,"[17, 14, 12, 10, 4]",34,"[0.41868484020233154, 0.1198887899518013, 0.3041345775127411, 0.12277474999427795, 0.03451703488826752]"
habitat,"[9, 2, 10, 6, 8, 2, 8]",34,"[0.21723146736621857, 0.42249536514282227, 0.2332974374294281, 0.074969083070755, 0.052006661891937256]"
insect,"[6, 5, 7, 4, 18, 8]",34,"[0.1958387941122055, 0.24779756367206573, 0.14386384189128876, 0.3136431574821472, 0.098856620490551]"
mammal,"[19, 2, 19, 19, 2, 14]",34,"[0.24762995541095734, 0.129728764295578, 0.414129376411438, 0.1818397492170334, 0.0266721174120903]"
map,"[19, 2, 3]",34,"[0.27352404594421387, 0.3709186613559723, 0.16582642495632172, 0.12442435324192047, 0.06530658155679703]"
material,"[19, 2, 8, 4, 11, 6, 2, 14]",34,"[0.2580583095550537, 0.4153386056423187, 0.15097618103027344, 0.1654403656721115, 0.01018650084733963]"
mayor,"[19, 2, 21, 12, 11]",34,"[0.2232445329427719, 0.19071759283542633, 0.057438645511865616, 0.4944286048412323, 0.03417067602276802]"
ocean,"[12, 18, 4, 2, 5]",34,"[0.6626716256141663, 0.03175022825598717, 0.13671350479125977, 0.13539381325244904, 0.03347083926200867]"
reptile,"[11, 4, 3, 8, 6, 14, 4]",34,"[0.4828929603099823, 0.1030760332942009, 0.2848884165287018, 0.11638826876878738, 0.012754380702972412]"
season,"[7, 4, 2, 7, 12, 5]",34,"[0.32271236181259155, 0.13015979528427124, 0.2221493273973465, 0.27995458245277405, 0.04502399265766144]"
subtraction,"[7, 13, 10, 8, 11, 2, 18, 8, 6, 12, 5]",34,"[0.07330116629600525, 0.5941523909568787, 0.13182544708251953, 0.17932307720184326, 0.021397899836301804]"
temperature,"[8, 4, 19, 3, 4, 11, 2, 8, 13, 11, 4]",34,"[0.14725174009799957, 0.09958654642105103, 0.3887714445590973, 0.34961795806884766, 0.014772361144423485]"
weather,"[26, 4, 2, 8, 9, 4, 11]",34,"[0.23887945711612701, 0.08832040429115295, 0.47970065474510193, 0.17756684124469757, 0.015532657504081726]"
author,"[2, 13, 8, 9, 12, 11]",34,"[0.12040481716394424, 0.16300930082798004, 0.43554821610450745, 0.25894030928611755, 0.022097351029515266]"
beginning,"[10, 4, 17, 6, 5, 5, 6, 5, 17]",34,"[0.2730496823787689, 0.25028419494628906, 0.32568463683128357, 0.11526284366846085, 0.035718582570552826]"
chapter,"[18, 9, 2, 3, 8, 4, 11]",34,"[0.4105913043022156, 0.2040565013885498, 0.28021156787872314, 0.08153638243675232, 0.023604197427630424]"
character,"[18, 9, 2, 11, 2, 18, 8, 4, 11]",34,"[0.2889541685581207, 0.10347199440002441, 0.3028022050857544, 0.2487056851387024, 0.05606594681739807]"
ending,"[4, 5, 20, 6, 5, 17]",34,"[0.1659558117389679, 0.42283928394317627, 0.20938259363174438, 0.16786044836044312, 0.03396175429224968]"
fable,"[22, 2, 10, 14, 4]",34,"[0.32454589009284973, 0.2903452515602112, 0.1332370489835739, 0.19916141033172607, 0.05271034315228462]"
fact,"[22, 2, 18, 8]",34,"[0.20817731320858002, 0.16296765208244324, 0.3135019838809967, 0.18439942598342896, 0.1309536099433899]"
fiction,"[22, 6, 18, 8, 6, 12, 5]",34,"[0.11804112792015076, 0.19223378598690033, 0.38304808735847473, 0.23085710406303406, 0.0758199617266655]"
illustrator,"[6, 14, 14, 13, 7, 8, 11, 2, 8, 12, 11]",34,"[0.11716865748167038, 0.07127108424901962, 0.6944493651390076, 0.10421288758516312, 0.012897959910333157]"
moral,"[19, 12, 11, 2, 14]",34,"[0.2681241035461426, 0.5325135588645935, 0.042548298835754395, 0.1328394114971161, 0.023974567651748657]"
narrator,"[5, 2, 11, 11, 2, 8, 12, 11]",34,"[0.16941654682159424, 0.2841242551803589, 0.12979871034622192, 0.39846476912498474, 0.01819574646651745]"
nonfiction,"[5, 12, 5, 22, 6, 18, 8, 6, 12, 5]",34,"[0.10318095237016678, 0.18255303800106049, 0.43769359588623047, 0.21951721608638763, 0.05705523118376732]"
opinion,"[12, 3, 6, 5, 6, 12, 5]",34,"[0.17842572927474976, 0.49053502082824707, 0.10775775462388992, 0.16451811790466309, 0.058763351291418076]"
poem,"[3, 12, 4, 19]",34,"[0.5705658793449402, 0.10743945837020874, 0.1682710349559784, 0.12914465367794037, 0.024578969925642014]"
rhyme,"[11, 9, 21, 19, 4]",34,"[0.18208648264408112, 0.6203786134719849, 0.07820053398609161, 0.09596752375364304, 0.023366868495941162]"
setting,"[7, 4, 8, 8, 6, 5, 17]",34,"[0.13660994172096252, 0.26016050577163696, 0.4525090754032135, 0.12949812412261963, 0.021222390234470367]"
title,"[8, 6, 8, 14, 4]",34,"[0.5963472723960876, 0.13547518849372864, 0.12787145376205444, 0.11481732130050659, 0.025488708168268204]"
agree,"[2, 17, 11, 4, 4]",34,"[0.33026331663131714, 0.23757877945899963, 0.3578251004219055, 0.059600215405225754, 0.014732662588357925]"
alphabetical,"[2, 14, 3, 9, 2, 10, 4, 8, 6, 18, 2, 14]",34,"[0.08689968287944794, 0.05048173666000366, 0.5655913949012756, 0.22926630079746246, 0.06776092201471329]"
antonym,"[2, 5, 8, 12, 5, 21, 19]",34,"[0.08306913077831268, 0.0577903613448143, 0.06348162889480591, 0.7742034196853638, 0.021455470472574234]"
because,"[10, 4, 18, 2, 13, 7, 4]",34,"[0.5883864164352417, 0.08804143220186234, 0.17390412092208862, 0.11347996443510056, 0.03618810698390007]"
blend,"[10, 14, 4, 5, 20]",34,"[0.24618226289749146, 0.2797984480857849, 0.09831417351961136, 0.29221633076667786, 0.08348878473043442]"
compound,"[18, 12, 19, 3, 12, 13, 5, 20]",34,"[0.1242317408323288, 0.15131129324436188, 0.2589154839515686, 0.43396636843681335, 0.031575124710798264]"
consonant,"[18, 12, 5, 7, 12, 5, 2, 5, 8]",34,"[0.09267612546682358, 0.11582387983798981, 0.10896643996238708, 0.623042106628418, 0.05949153006076813]"
contraction,"[18, 12, 5, 8, 11, 2, 18, 8, 6, 12, 5]",34,"[0.0999578982591629, 0.33108243346214294, 0.2647453844547272, 0.25446316599845886, 0.049751151353120804]"
definition,"[20, 4, 22, 6, 5, 6, 8, 6, 12, 5]",34,"[0.09605848789215088, 0.17862239480018616, 0.41533857583999634, 0.27671781182289124, 0.033262722194194794]"
dictionary,"[20, 6, 18, 8, 6, 12, 5, 2, 11, 21]",34,"[0.10612035542726517, 0.17329570651054382, 0.29046231508255005, 0.338894248008728, 0.09122738987207413]"
digraph,"[20, 6, 17, 11, 2, 3, 9]",34,"[0.11327175050973892, 0.38820841908454895, 0.42019137740135193, 0.05394065007567406, 0.024387719109654427]"
disagree,"[20, 6, 7, 2, 17, 11, 4, 4]",34,"[0.32340866327285767, 0.3827582597732544, 0.17454366385936737, 0.09926167130470276, 0.020027723163366318]"
glossary,"[17, 14, 12, 7, 7, 2, 11, 21]",34,"[0.2955620288848877, 0.22780507802963257, 0.19322682917118073, 0.23044516146183014, 0.05296088755130768]"
homophone,"[9, 12, 19, 12, 3, 9, 12, 5, 4]",34,"[0.07828934490680695, 0.08069909363985062, 0.24290229380130768, 0.5860618352890015, 0.012047517113387585]"
incorrect,"[6, 5, 18, 12, 11, 11, 4, 18, 8]",34,"[0.20092521607875824, 0.15237511694431305, 0.23107224702835083, 0.3688223361968994, 0.04680509865283966]"
plural,"[3, 14, 13, 11, 2, 14]",34,"[0.36209481954574585, 0.2496284544467926, 0.16137444972991943, 0.15847322344779968, 0.06842906028032303]"
possessive,"[3, 12, 7, 7, 4, 7, 7, 6, 28, 4]",34,"[0.1000177413225174, 0.020429013296961784, 0.8388769030570984, 0.03705041855573654, 0.0036259375046938658]"
prefix,"[3, 11, 4, 22, 6, 27]",34,"[0.5325942635536194, 0.12095082551240921, 0.10531041026115417, 0.21876707673072815, 0.02237742394208908]"
singular,"[7, 6, 5, 17, 13, 14, 2, 11]",34,"[0.2051384299993515, 0.5899788737297058, 0.056061554700136185, 0.13452433049678802, 0.014296810142695904]"
suffix,"[7, 13, 22, 22, 6, 27]",34,"[0.21346352994441986, 0.3226153254508972, 0.13146811723709106, 0.2860693633556366, 0.046383682638406754]"
syllable,"[7, 21, 14, 14, 2, 10, 14, 4]",34,"[0.3507193922996521, 0.1836935132741928, 0.290473997592926, 0.13372063636779785, 0.04139254614710808]"
synonym,"[7, 21, 5, 12, 5, 21, 19]",34,"[0.09527093172073364, 0.055816661566495895, 0.08666224777698517, 0.7010442018508911, 0.061205945909023285]"
vowel,"[28, 12, 26, 4, 14]",34,"[0.8269190192222595, 0.04689105972647667, 0.07807096093893051, 0.043148472905159, 0.004970495589077473]"
accurate,"[2, 18, 18, 13, 11, 2, 8, 4]",34,"[0.23403970897197723, 0.22740525007247925, 0.17150762677192688, 0.3260895609855652, 0.04095790535211563]"
analyze,"[2, 5, 2, 14, 21, 15, 4]",34,"[0.16221584379673004, 0.6464154720306396, 0.06030439957976341, 0.07300298660993576, 0.05806127190589905]"
apply,"[2, 3, 3, 14, 21]",34,"[0.11056318134069443, 0.11469259113073349, 0.6727622151374817, 0.06696199625730515, 0.03501996397972107]"
arrange,"[2, 11, 11, 2, 5, 17, 4]",34,"[0.25287196040153503, 0.09916629642248154, 0.32581135630607605, 0.29318708181381226, 0.02896336279809475]"
audience,"[2, 13, 20, 6, 4, 5, 18, 4]",34,"[0.22154563665390015, 0.2247842401266098, 0.12243359535932541, 0.30428650975227356, 0.1269499659538269]"
category,"[18, 2, 8, 4, 17, 12, 11, 21]",34,"[0.15350677073001862, 0.13258615136146545, 0.04917144030332565, 0.6513974666595459, 0.013338125310838223]"
classify,"[18, 14, 2, 7, 7, 6, 22, 21]",34,"[0.21031631529331207, 0.10512594878673553, 0.357971727848053, 0.1323762983083725, 0.19420967996120453]"
combine,"[18, 12, 19, 10, 6, 5, 4]",34,"[0.23672331869602203, 0.13891127705574036, 0.4189935624599457, 0.14143744111061096, 0.06393441557884216]"
conclusion,"[18, 12, 5, 18, 14, 13, 7, 6, 12, 5]",34,"[0.11514806747436523, 0.0453566275537014, 0.7041230797767639, 0.0948840081691742, 0.04048825427889824]"
contrast,"[18, 12, 5, 8, 11, 2, 7, 8]",34,"[0.20399372279644012, 0.48747509717941284, 0.055226653814315796, 0.21498826146125793, 0.038316283375024796]"
contribute,"[18, 12, 5, 8, 11, 6, 10, 13, 8, 4]",34,"[0.0734875276684761, 0.09912551939487457, 0.5937199592590332, 0.22310587763786316, 0.010561132803559303]"
demonstrate,"[20, 4, 19, 12, 5, 7, 8, 11, 2, 8, 4]",34,"[0.09278380870819092, 0.1574297994375229, 0.08055901527404785, 0.6532671451568604, 0.015960175544023514]"
determine,"[20, 4, 8, 4, 11, 19, 6, 5, 4]",34,"[0.14970308542251587, 0.5557112693786621, 0.11815320700407028, 0.16491951048374176, 0.011512896977365017]"
distinguish,"[20, 6, 7, 8, 6, 5, 17, 13, 6, 7, 9]",34,"[0.08616013079881668, 0.0896308571100235, 0.7137481570243835, 0.08173997700214386, 0.028720878064632416]"
edit,"[4, 20, 6, 8]",34,"[0.3078404664993286, 0.18000677227973938, 0.1962975263595581, 0.2012001872062683, 0.11465512216091156]"
entertain,"[4, 5, 8, 4, 11, 8, 2, 6, 5]",34,"[0.2891877591609955, 0.3760809898376465, 0.16828815639019012, 0.15139140188694, 0.015051748603582382]"
evidence,"[4, 28, 6, 20, 4, 5, 18, 4]",34,"[0.1601606160402298, 0.13535615801811218, 0.05660443380475044, 0.5792837142944336, 0.0685950219631195]"
examine,"[4, 27, 2, 19, 6, 5, 4]",34,"[0.16027402877807617, 0.2429189682006836, 0.06327946484088898, 0.48318150639533997, 0.050346072763204575]"
experiment,"[4, 27, 3, 4, 11, 6, 19, 4, 5, 8]",34,"[0.08400136232376099, 0.3637138903141022, 0.061721090227365494, 0.44448232650756836, 0.04608147218823433]"
generate,"[17, 4, 5, 4, 11, 2, 8, 4]",34,"[0.22403420507907867, 0.29785478115081787, 0.06653299927711487, 0.3836354911327362, 0.027942508459091187]"
identify,"[6, 20, 4, 5, 8, 6, 22, 21]",34,"[0.1299920231103897, 0.4977642595767975, 0.07242541760206223, 0.21100296080112457, 0.08881545066833496]"
infer,"[6, 5, 22, 4, 11]",34,"[0.24255003035068512, 0.40258297324180603, 0.1227264255285263, 0.1695333868265152, 0.06260707229375839]"
inform,"[6, 5, 22, 12, 11, 19]",34,"[0.16582365334033966, 0.458213210105896, 0.10252662003040314, 0.2361224740743637, 0.03731401637196541]"
interpret,"[6, 5, 8, 4, 11, 3, 11, 4, 8]",34,"[0.14460985362529755, 0.13941316306591034, 0.4428078532218933, 0.25109952688217163, 0.02206961251795292]"
introduce,"[6, 5, 8, 11, 12, 20, 13, 18, 4]",34,"[0.07509540766477585, 0.7431073188781738, 0.11665420979261398, 0.05666905269026756, 0.008473975583910942]"
investigate,"[6, 5, 28, 4, 7, 8, 6, 17, 2, 8, 4]",34,"[0.09414097666740417, 0.026339294388890266, 0.4805088937282562, 0.3932611048221588, 0.00574980303645134]"
judge,"[23, 13, 20, 17, 4]",34,"[0.17184293270111084, 0.1336566060781479, 0.6253092885017395, 0.04456854984164238, 0.024622606113553047]"
locate,"[14, 12, 18, 2, 8, 4]",34,"[0.4861825406551361, 0.08634647727012634, 0.24468547105789185, 0.16072963178157806, 0.02205583266913891]"
meaningful,"[19, 4, 2, 5, 6, 5, 17, 22, 13, 14]",34,"[0.392640620470047, 0.14254307746887207, 0.3788740634918213, 0.07848728448152542, 0.007454992737621069]"
paraphrase,"[3, 2, 11, 2, 3, 9, 11, 2, 7, 4]",34,"[0.3356500267982483, 0.2442542016506195, 0.2357095181941986, 0.13798411190509796, 0.04640214517712593]"
persuade,"[3, 4, 11, 7, 13, 2, 20, 4]",34,"[0.20142988860607147, 0.0385875403881073, 0.06012172996997833, 0.6835342049598694, 0.01632660999894142]"
prediction,"[3, 11, 4, 20, 6, 18, 8, 6, 12, 5]",34,"[0.11630825698375702, 0.17049112915992737, 0.5264905691146851, 0.15680813789367676, 0.029901985079050064]"
publish,"[3, 13, 10, 14, 6, 7, 9]",34,"[0.07892400771379471, 0.719832181930542, 0.07259384542703629, 0.10652945935726166, 0.0221205186098814]"
purpose,"[3, 13, 11, 3, 12, 7, 4]",34,"[0.4128784239292145, 0.15351152420043945, 0.1400788128376007, 0.24425823986530304, 0.04927299544215202]"
reference,"[11, 4, 22, 4, 11, 4, 5, 18, 4]",34,"[0.1423456370830536, 0.6204177141189575, 0.049219366163015366, 0.14271937310695648, 0.045297861099243164]"
relevant,"[11, 4, 14, 4, 28, 2, 5, 8]",34,"[0.511472225189209, 0.0808463916182518, 0.1408456563949585, 0.2553238868713379, 0.011511845514178276]"
reliable,"[11, 4, 14, 6, 2, 10, 14, 4]",34,"[0.20709827542304993, 0.5664092898368835, 0.04825302213430405, 0.15529075264930725, 0.022948579862713814]"
represent,"[11, 4, 3, 11, 4, 7, 4, 5, 8]",34,"[0.18229225277900696, 0.06561769545078278, 0.5662084221839905, 0.166787788271904, 0.019093910232186317]"
result,"[11, 4, 7, 13, 14, 8]",34,"[0.4629841148853302, 0.2979866862297058, 0.06719902902841568, 0.15155355632305145, 0.020276568830013275]"
retell,"[11, 4, 8, 4, 14, 14]",34,"[0.6063328981399536, 0.10280770808458328, 0.25050365924835205, 0.030035169795155525, 0.010320539586246014]"
revise,"[11, 4, 28, 6, 7, 4]",34,"[0.6454479098320007, 0.06428270041942596, 0.13437551259994507, 0.12382429093122482, 0.03206963464617729]"
sequence,"[7, 4, 24, 13, 4, 5, 18, 4]",34,"[0.17809781432151794, 0.04835133254528046, 0.1358126401901245, 0.5780236721038818, 0.059714581817388535]"
source,"[7, 12, 13, 11, 18, 4]",34,"[0.6300730109214783, 0.0824485793709755, 0.13516974449157715, 0.11197849363088608, 0.04033026471734047]"
summarize,"[7, 13, 19, 19, 2, 11, 6, 15, 4]",34,"[0.16390995681285858, 0.24201379716396332, 0.31028658151626587, 0.2525211572647095, 0.031268469989299774]"
support,"[7, 13, 3, 3, 12, 11, 8]",34,"[0.08508501946926117, 0.050955142825841904, 0.26211515069007874, 0.5666959285736084, 0.035148780792951584]"
symbol,"[7, 21, 19, 10, 12, 14]",34,"[0.12602193653583527, 0.31855955719947815, 0.1644214540719986, 0.3398919105529785, 0.05110509693622589]"
topic,"[8, 12, 3, 6, 18]",34,"[0.29633527994155884, 0.2755066454410553, 0.0952523723244667, 0.13184592127799988, 0.20105978846549988]"
adjective,"[2, 20, 23, 4, 18, 8, 6, 28, 4]",34,"[0.2294302135705948, 0.17095987498760223, 0.46539923548698425, 0.12001872062683105, 0.014192023314535618]"
adverb,"[2, 20, 28, 4, 11, 10]",34,"[0.10168423503637314, 0.1314174085855484, 0.7027313709259033, 0.046572089195251465, 0.0175948329269886]"
affix,"[2, 22, 22, 6, 27]",34,"[0.271253764629364, 0.3198818564414978, 0.10820145159959793, 0.24579684436321259, 0.05486612021923065]"
alliteration,"[2, 14, 14, 6, 8, 4, 11, 2, 8, 6, 12, 5]",34,"[0.09468130767345428, 0.13911299407482147, 0.7302145957946777, 0.03125409036874771, 0.004737009759992361]"
ancient,"[2, 5, 18, 6, 4, 5, 8]",34,"[0.1677699238061905, 0.4664857089519501, 0.08599139004945755, 0.22492054104804993, 0.05483247712254524]"
conjunction,"[18, 12, 5, 23, 13, 5, 18, 8, 6, 12, 5]",34,"[0.1199323982000351, 0.04452410340309143, 0.5500004291534424, 0.23635943233966827, 0.04918358474969864]"
curious,"[18, 13, 11, 6, 12, 13, 7]",34,"[0.1323373168706894, 0.38529083132743835, 0.2072320133447647, 0.24081794917583466, 0.03432188555598259]"
eager,"[4, 2, 17, 4, 11]",34,"[0.3030361831188202, 0.2884431779384613, 0.19726836681365967, 0.18253736197948456, 0.02871483378112316]"
enormous,"[4, 5, 12, 11, 19, 12, 13, 7]",34,"[0.08427445590496063, 0.6568710207939148, 0.03138604387640953, 0.21793900430202484, 0.009529465809464455]"
hyperbole,"[9, 21, 3, 4, 11, 10, 12, 14, 4]",34,"[0.20874783396720886, 0.11390339583158493, 0.15209871530532837, 0.42905324697494507, 0.09619681537151337]"
idiom,"[6, 20, 6, 12, 19]",34,"[0.12045171111822128, 0.20185568928718567, 0.21499745547771454, 0.4098520874977112, 0.05284301936626434]"
literal,"[14, 6, 8, 4, 11, 2, 14]",34,"[0.43178337812423706, 0.36389848589897156, 0.0813208520412445, 0.09608369320631027, 0.02691357024013996]"
metaphor,"[19, 4, 8, 2, 3, 9, 12, 11]",34,"[0.21320241689682007, 0.22001704573631287, 0.3770639896392822, 0.17032203078269958, 0.019394556060433388]"
multiple-meaning word,"[19, 13, 14, 8, 6, 3, 14, 4, 30, 19, 4, 2, 5, 6, 5, 17, 31, 26, 12, 11, 20]",34,"[0.19545772671699524, 0.008743503130972385, 0.768182635307312, 0.02653159573674202, 0.001084512798115611]"
nonliteral,"[5, 12, 5, 14, 6, 8, 4, 11, 2, 14]",34,"[0.23695509135723114, 0.601897656917572, 0.07908828556537628, 0.07037755101919174, 0.011681439355015755]"
onomatopoeia,"[12, 5, 12, 19, 2, 8, 12, 3, 12, 4, 6, 2]",34,"[0.15306365489959717, 0.1416672319173813, 0.15344597399234772, 0.5457485914230347, 0.0060744998045265675]"
personification,"[3, 4, 11, 7, 12, 5, 6, 22, 6, 18, 2, 8, 6, 12, 5]",34,"[0.07296775281429291, 0.08873268216848373, 0.18913501501083374, 0.6261207461357117, 0.023043816909193993]"
preposition,"[3, 11, 4, 3, 12, 7, 6, 8, 6, 12, 5]",34,"[0.07789675146341324, 0.05991140007972717, 0.7264727354049683, 0.1289823204278946, 0.006736819166690111]"
pronoun,"[3, 11, 12, 5, 12, 13, 5]",34,"[0.2717709243297577, 0.07600470632314682, 0.4672470688819885, 0.15577228367328644, 0.029205072671175003]"
simile,"[7, 6, 19, 6, 14, 4]",34,"[0.22954460978507996, 0.5128023028373718, 0.04539605602622032, 0.18709559738636017, 0.025161467492580414]"
adaptation,"[2, 20, 2, 3, 8, 2, 8, 6, 12, 5]",34,"[0.08288004249334335, 0.10347317159175873, 0.6667314767837524, 0.13031430542469025, 0.01660100743174553]"
area,"[2, 11, 4, 2]",34,"[0.7715808153152466, 0.022197294980287552, 0.1439233124256134, 0.05364613234996796, 0.008652501739561558]"
